설명: [집계 2] 신고별 주파수 대역 개수와 평균 대역폭을 확인한다. (COUNT, AVG + GROUP BY)

실행 SQL:
-- [집계 2] 신고별 주파수 대역 개수와 평균 대역폭을 확인한다. (COUNT, AVG + GROUP BY)
SELECT ntc_id, COUNT(*) AS 대역수, ROUND(AVG(bdwdth), 1) AS 평균대역폭_kHz
FROM freq
GROUP BY ntc_id
ORDER BY 대역수 DESC;

실행 결과:
 ntc_id    대역수  평균대역폭_kHz
---------  ------  --------------
108501259       3         40000.0
112500227       3        400000.0
112500243       3        400000.0
114500160       3         15400.0
119520281       3         36666.7
121500104       3        166800.0
123500068       3         32333.3
123520124       3         25666.7
124500094       3           440.0
125500062       3        116666.7
125520109       3          1000.0
125520114       3         16666.7
125520116       3         35000.0
125520120       3          5000.0
125520122       3       1000000.0
126500060       3         30000.0
125520134       2        169500.0
