설명: [서브쿼리] 전체 평균 대역폭보다 넓은 주파수 대역을 확인한다.

실행 SQL:
-- [서브쿼리] 전체 평균 대역폭보다 넓은 주파수 대역을 확인한다.
SELECT ntc_id, emi_rcp, freq_min, freq_max, bdwdth
FROM freq
WHERE bdwdth > (SELECT AVG(bdwdth) FROM freq)
ORDER BY bdwdth DESC;

실행 결과:
 ntc_id    emi_rcp  freq_min  freq_max   bdwdth
---------  -------  --------  --------  ---------
112500227  R         30000.0   31000.0  1000000.0
112500243  R         30000.0   31000.0  1000000.0
125520122  E         37500.0   38500.0  1000000.0
125520122  E         38500.0   39500.0  1000000.0
125520122  E         39500.0   40500.0  1000000.0
121500104  E         10950.0   11200.0   250000.0
121500104  E         11450.0   11700.0   250000.0
125500062  R         25250.0   25500.0   250000.0
125520134  E          6875.0    7055.0   180000.0
125520134  R          5091.0    5250.0   159000.0
